"LUI","combo"
0.5,"Poa_tri.Dac_glo.Fes_rub.Fes_pra.Bro_hor"
0.5,"Poa_tri.Dac_glo.Fes_rub.Fes_pra.Gal_mol"
0.5,"Poa_tri.Dac_glo.Fes_rub.Fes_pra.Hol_lan"
0.5,"Poa_tri.Dac_glo.Fes_rub.Fes_pra.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_rub.Bro_hor.Gal_mol"
0.5,"Poa_tri.Dac_glo.Fes_rub.Bro_hor.Hol_lan"
0.5,"Poa_tri.Dac_glo.Fes_rub.Bro_hor.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_rub.Gal_mol.Hol_lan"
0.5,"Poa_tri.Dac_glo.Fes_rub.Gal_mol.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_rub.Hol_lan.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_pra.Bro_hor.Gal_mol"
0.5,"Poa_tri.Dac_glo.Fes_pra.Bro_hor.Hol_lan"
0.5,"Poa_tri.Dac_glo.Fes_pra.Bro_hor.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_pra.Gal_mol.Hol_lan"
0.5,"Poa_tri.Dac_glo.Fes_pra.Gal_mol.Car_hir"
0.5,"Poa_tri.Dac_glo.Fes_pra.Hol_lan.Car_hir"
0.5,"Poa_tri.Dac_glo.Bro_hor.Gal_mol.Hol_lan"
0.5,"Poa_tri.Dac_glo.Bro_hor.Hol_lan.Car_hir"
0.5,"Poa_tri.Dac_glo.Gal_mol.Hol_lan.Car_hir"
0.5,"Poa_tri.Fes_rub.Fes_pra.Bro_hor.Gal_mol"
0.5,"Poa_tri.Fes_rub.Fes_pra.Bro_hor.Hol_lan"
0.5,"Poa_tri.Fes_rub.Fes_pra.Bro_hor.Car_hir"
0.5,"Poa_tri.Fes_rub.Fes_pra.Gal_mol.Hol_lan"
0.5,"Poa_tri.Fes_rub.Fes_pra.Gal_mol.Car_hir"
0.5,"Poa_tri.Fes_rub.Fes_pra.Hol_lan.Car_hir"
0.5,"Poa_tri.Fes_rub.Bro_hor.Gal_mol.Hol_lan"
0.5,"Poa_tri.Fes_rub.Bro_hor.Hol_lan.Car_hir"
0.5,"Poa_tri.Fes_rub.Gal_mol.Hol_lan.Car_hir"
0.5,"Poa_tri.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Poa_tri.Fes_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Poa_tri.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_rub.Fes_pra.Bro_hor"
0.5,"Alo_pra.Dac_glo.Fes_rub.Fes_pra.Gal_mol"
0.5,"Alo_pra.Dac_glo.Fes_rub.Fes_pra.Hol_lan"
0.5,"Alo_pra.Dac_glo.Fes_rub.Fes_pra.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_rub.Bro_hor.Gal_mol"
0.5,"Alo_pra.Dac_glo.Fes_rub.Bro_hor.Hol_lan"
0.5,"Alo_pra.Dac_glo.Fes_rub.Gal_mol.Hol_lan"
0.5,"Alo_pra.Dac_glo.Fes_rub.Gal_mol.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_rub.Hol_lan.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_pra.Bro_hor.Gal_mol"
0.5,"Alo_pra.Dac_glo.Fes_pra.Bro_hor.Hol_lan"
0.5,"Alo_pra.Dac_glo.Fes_pra.Bro_hor.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_pra.Gal_mol.Hol_lan"
0.5,"Alo_pra.Dac_glo.Fes_pra.Gal_mol.Car_hir"
0.5,"Alo_pra.Dac_glo.Fes_pra.Hol_lan.Car_hir"
0.5,"Alo_pra.Dac_glo.Bro_hor.Gal_mol.Hol_lan"
0.5,"Alo_pra.Dac_glo.Bro_hor.Hol_lan.Car_hir"
0.5,"Alo_pra.Dac_glo.Gal_mol.Hol_lan.Car_hir"
0.5,"Alo_pra.Fes_rub.Fes_pra.Bro_hor.Gal_mol"
0.5,"Alo_pra.Fes_rub.Fes_pra.Bro_hor.Hol_lan"
0.5,"Alo_pra.Fes_rub.Fes_pra.Gal_mol.Hol_lan"
0.5,"Alo_pra.Fes_rub.Fes_pra.Gal_mol.Car_hir"
0.5,"Alo_pra.Fes_rub.Fes_pra.Hol_lan.Car_hir"
0.5,"Alo_pra.Fes_rub.Bro_hor.Gal_mol.Hol_lan"
0.5,"Alo_pra.Fes_rub.Gal_mol.Hol_lan.Car_hir"
0.5,"Alo_pra.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Alo_pra.Fes_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Alo_pra.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_rub.Fes_pra.Bro_hor"
0.5,"Dac_glo.Arr_ela.Fes_rub.Fes_pra.Gal_mol"
0.5,"Dac_glo.Arr_ela.Fes_rub.Fes_pra.Hol_lan"
0.5,"Dac_glo.Arr_ela.Fes_rub.Fes_pra.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_rub.Bro_hor.Gal_mol"
0.5,"Dac_glo.Arr_ela.Fes_rub.Bro_hor.Hol_lan"
0.5,"Dac_glo.Arr_ela.Fes_rub.Bro_hor.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_rub.Gal_mol.Hol_lan"
0.5,"Dac_glo.Arr_ela.Fes_rub.Gal_mol.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_rub.Hol_lan.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_pra.Bro_hor.Gal_mol"
0.5,"Dac_glo.Arr_ela.Fes_pra.Bro_hor.Hol_lan"
0.5,"Dac_glo.Arr_ela.Fes_pra.Bro_hor.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_pra.Gal_mol.Hol_lan"
0.5,"Dac_glo.Arr_ela.Fes_pra.Gal_mol.Car_hir"
0.5,"Dac_glo.Arr_ela.Fes_pra.Hol_lan.Car_hir"
0.5,"Dac_glo.Arr_ela.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Arr_ela.Bro_hor.Hol_lan.Car_hir"
0.5,"Dac_glo.Arr_ela.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Tri_pra.Bro_hor"
0.5,"Dac_glo.Fes_rub.Fes_pra.Tri_pra.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Tri_pra.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Ran_rep.Bro_hor"
0.5,"Dac_glo.Fes_rub.Fes_pra.Ran_rep.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Ran_rep.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Ran_rep.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_ere.Bro_hor"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_ere.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_ere.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Pla_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Her_sph"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Hel_pub"
0.5,"Dac_glo.Fes_rub.Fes_pra.Bro_hor.Bra_pin"
0.5,"Dac_glo.Fes_rub.Fes_pra.Pla_lan.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Pla_lan.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Pla_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Her_sph.Gal_mol"
0.5,"Dac_glo.Fes_rub.Fes_pra.Her_sph.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Her_sph.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Fes_pra.Gal_mol.Hel_pub"
0.5,"Dac_glo.Fes_rub.Fes_pra.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Gal_mol.Bra_pin"
0.5,"Dac_glo.Fes_rub.Fes_pra.Hol_lan.Hel_pub"
0.5,"Dac_glo.Fes_rub.Fes_pra.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Fes_pra.Hol_lan.Bra_pin"
0.5,"Dac_glo.Fes_rub.Fes_pra.Hel_pub.Car_hir"
0.5,"Dac_glo.Fes_rub.Tri_pra.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_rub.Tri_pra.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_rub.Tri_pra.Bro_hor.Car_hir"
0.5,"Dac_glo.Fes_rub.Tri_pra.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Tri_pra.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Ran_rep.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_rub.Ran_rep.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_rub.Ran_rep.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Ran_rep.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_rub.Ran_rep.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Bro_ere.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_rub.Bro_ere.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_rub.Bro_ere.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Bro_hor.Pla_lan.Gal_mol"
0.5,"Dac_glo.Fes_rub.Bro_hor.Pla_lan.Hol_lan"
0.5,"Dac_glo.Fes_rub.Bro_hor.Pla_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Bro_hor.Her_sph.Gal_mol"
0.5,"Dac_glo.Fes_rub.Bro_hor.Her_sph.Hol_lan"
0.5,"Dac_glo.Fes_rub.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Bro_hor.Gal_mol.Hel_pub"
0.5,"Dac_glo.Fes_rub.Bro_hor.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_rub.Bro_hor.Gal_mol.Bra_pin"
0.5,"Dac_glo.Fes_rub.Bro_hor.Hol_lan.Hel_pub"
0.5,"Dac_glo.Fes_rub.Bro_hor.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Bro_hor.Hol_lan.Bra_pin"
0.5,"Dac_glo.Fes_rub.Pla_lan.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Pla_lan.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_rub.Pla_lan.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Her_sph.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_rub.Her_sph.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_rub.Her_sph.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Gal_mol.Hol_lan.Hel_pub"
0.5,"Dac_glo.Fes_rub.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_rub.Gal_mol.Hol_lan.Bra_pin"
0.5,"Dac_glo.Fes_rub.Gal_mol.Hel_pub.Car_hir"
0.5,"Dac_glo.Fes_pra.Tri_pra.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_pra.Tri_pra.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_pra.Tri_pra.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Tri_pra.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_pra.Ran_rep.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_pra.Ran_rep.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_pra.Ran_rep.Bro_hor.Car_hir"
0.5,"Dac_glo.Fes_pra.Ran_rep.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Ran_rep.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_pra.Ran_rep.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_pra.Bro_ere.Bro_hor.Gal_mol"
0.5,"Dac_glo.Fes_pra.Bro_ere.Bro_hor.Hol_lan"
0.5,"Dac_glo.Fes_pra.Bro_ere.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Bro_hor.Pla_lan.Gal_mol"
0.5,"Dac_glo.Fes_pra.Bro_hor.Pla_lan.Hol_lan"
0.5,"Dac_glo.Fes_pra.Bro_hor.Her_sph.Gal_mol"
0.5,"Dac_glo.Fes_pra.Bro_hor.Her_sph.Hol_lan"
0.5,"Dac_glo.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Bro_hor.Gal_mol.Hel_pub"
0.5,"Dac_glo.Fes_pra.Bro_hor.Gal_mol.Bra_pin"
0.5,"Dac_glo.Fes_pra.Bro_hor.Hol_lan.Hel_pub"
0.5,"Dac_glo.Fes_pra.Bro_hor.Hol_lan.Bra_pin"
0.5,"Dac_glo.Fes_pra.Pla_lan.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Pla_lan.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_pra.Pla_lan.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_pra.Her_sph.Gal_mol.Hol_lan"
0.5,"Dac_glo.Fes_pra.Her_sph.Gal_mol.Car_hir"
0.5,"Dac_glo.Fes_pra.Her_sph.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_pra.Gal_mol.Hol_lan.Hel_pub"
0.5,"Dac_glo.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Fes_pra.Gal_mol.Hol_lan.Bra_pin"
0.5,"Dac_glo.Fes_pra.Gal_mol.Hel_pub.Car_hir"
0.5,"Dac_glo.Tri_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Tri_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Dac_glo.Ran_rep.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Ran_rep.Bro_hor.Hol_lan.Car_hir"
0.5,"Dac_glo.Ran_rep.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Bro_ere.Bro_hor.Gal_mol.Hol_lan"
0.5,"Dac_glo.Bro_hor.Pla_lan.Gal_mol.Hol_lan"
0.5,"Dac_glo.Bro_hor.Pla_lan.Gal_mol.Car_hir"
0.5,"Dac_glo.Bro_hor.Pla_lan.Hol_lan.Car_hir"
0.5,"Dac_glo.Bro_hor.Her_sph.Gal_mol.Hol_lan"
0.5,"Dac_glo.Bro_hor.Gal_mol.Hol_lan.Hel_pub"
0.5,"Dac_glo.Bro_hor.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Bro_hor.Gal_mol.Hol_lan.Bra_pin"
0.5,"Dac_glo.Pla_lan.Gal_mol.Hol_lan.Car_hir"
0.5,"Dac_glo.Her_sph.Gal_mol.Hol_lan.Car_hir"
0.5,"Arr_ela.Fes_rub.Fes_pra.Bro_hor.Gal_mol"
0.5,"Arr_ela.Fes_rub.Fes_pra.Bro_hor.Hol_lan"
0.5,"Arr_ela.Fes_rub.Fes_pra.Gal_mol.Hol_lan"
0.5,"Arr_ela.Fes_rub.Fes_pra.Gal_mol.Car_hir"
0.5,"Arr_ela.Fes_rub.Fes_pra.Hol_lan.Car_hir"
0.5,"Arr_ela.Fes_rub.Bro_hor.Gal_mol.Hol_lan"
0.5,"Arr_ela.Fes_rub.Bro_hor.Hol_lan.Car_hir"
0.5,"Arr_ela.Fes_rub.Gal_mol.Hol_lan.Car_hir"
0.5,"Arr_ela.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Arr_ela.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_rub.Fes_pra.Tri_pra.Bro_hor.Gal_mol"
0.5,"Fes_rub.Fes_pra.Tri_pra.Bro_hor.Hol_lan"
0.5,"Fes_rub.Fes_pra.Tri_pra.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Ran_rep.Bro_hor.Gal_mol"
0.5,"Fes_rub.Fes_pra.Ran_rep.Bro_hor.Hol_lan"
0.5,"Fes_rub.Fes_pra.Ran_rep.Bro_hor.Car_hir"
0.5,"Fes_rub.Fes_pra.Ran_rep.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Ran_rep.Gal_mol.Car_hir"
0.5,"Fes_rub.Fes_pra.Ran_rep.Hol_lan.Car_hir"
0.5,"Fes_rub.Fes_pra.Bro_ere.Bro_hor.Gal_mol"
0.5,"Fes_rub.Fes_pra.Bro_ere.Bro_hor.Hol_lan"
0.5,"Fes_rub.Fes_pra.Bro_ere.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Bro_hor.Pla_lan.Gal_mol"
0.5,"Fes_rub.Fes_pra.Bro_hor.Pla_lan.Hol_lan"
0.5,"Fes_rub.Fes_pra.Bro_hor.Her_sph.Gal_mol"
0.5,"Fes_rub.Fes_pra.Bro_hor.Her_sph.Hol_lan"
0.5,"Fes_rub.Fes_pra.Bro_hor.Her_sph.Car_hir"
0.5,"Fes_rub.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Bro_hor.Gal_mol.Hel_pub"
0.5,"Fes_rub.Fes_pra.Bro_hor.Gal_mol.Bra_pin"
0.5,"Fes_rub.Fes_pra.Bro_hor.Hol_lan.Hel_pub"
0.5,"Fes_rub.Fes_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Fes_rub.Fes_pra.Bro_hor.Hol_lan.Bra_pin"
0.5,"Fes_rub.Fes_pra.Pla_lan.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Pla_lan.Gal_mol.Car_hir"
0.5,"Fes_rub.Fes_pra.Her_sph.Gal_mol.Hol_lan"
0.5,"Fes_rub.Fes_pra.Her_sph.Gal_mol.Car_hir"
0.5,"Fes_rub.Fes_pra.Her_sph.Hol_lan.Car_hir"
0.5,"Fes_rub.Fes_pra.Gal_mol.Hol_lan.Hel_pub"
0.5,"Fes_rub.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_rub.Fes_pra.Gal_mol.Hol_lan.Bra_pin"
0.5,"Fes_rub.Fes_pra.Gal_mol.Hel_pub.Car_hir"
0.5,"Fes_rub.Tri_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_rub.Tri_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Fes_rub.Ran_rep.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_rub.Ran_rep.Bro_hor.Hol_lan.Car_hir"
0.5,"Fes_rub.Ran_rep.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_rub.Bro_ere.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_rub.Bro_hor.Pla_lan.Gal_mol.Hol_lan"
0.5,"Fes_rub.Bro_hor.Pla_lan.Gal_mol.Car_hir"
0.5,"Fes_rub.Bro_hor.Pla_lan.Hol_lan.Car_hir"
0.5,"Fes_rub.Bro_hor.Her_sph.Gal_mol.Hol_lan"
0.5,"Fes_rub.Bro_hor.Her_sph.Hol_lan.Car_hir"
0.5,"Fes_rub.Bro_hor.Gal_mol.Hol_lan.Hel_pub"
0.5,"Fes_rub.Bro_hor.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_rub.Bro_hor.Gal_mol.Hol_lan.Bra_pin"
0.5,"Fes_rub.Pla_lan.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_rub.Her_sph.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_pra.Tri_pra.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_pra.Tri_pra.Bro_hor.Hol_lan.Car_hir"
0.5,"Fes_pra.Ran_rep.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_pra.Ran_rep.Bro_hor.Hol_lan.Car_hir"
0.5,"Fes_pra.Ran_rep.Gal_mol.Hol_lan.Car_hir"
0.5,"Fes_pra.Bro_ere.Bro_hor.Gal_mol.Hol_lan"
0.5,"Fes_pra.Bro_hor.Pla_lan.Gal_mol.Hol_lan"
0.5,"Fes_pra.Bro_hor.Her_sph.Gal_mol.Hol_lan"
0.5,"Fes_pra.Bro_hor.Her_sph.Hol_lan.Car_hir"
0.5,"Fes_pra.Bro_hor.Gal_mol.Hol_lan.Hel_pub"
0.5,"Fes_pra.Bro_hor.Gal_mol.Hol_lan.Bra_pin"
0.5,"Fes_pra.Her_sph.Gal_mol.Hol_lan.Car_hir"
0.5,"Bro_hor.Pla_lan.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_tri.Poa_pra.Fes_pra.Gal_mol.Hol_lan"
0.75,"Poa_tri.Poa_pra.Fes_pra.Gal_mol.Car_hir"
0.75,"Poa_tri.Poa_pra.Fes_pra.Hol_lan.Car_hir"
0.75,"Poa_tri.Poa_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_tri.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Alo_pra.Fes_pra.Gal_mol.Hol_lan"
0.75,"Poa_pra.Alo_pra.Fes_pra.Gal_mol.Car_hir"
0.75,"Poa_pra.Alo_pra.Fes_pra.Hol_lan.Car_hir"
0.75,"Poa_pra.Alo_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Dac_glo.Fes_pra.Gal_mol.Hol_lan"
0.75,"Poa_pra.Dac_glo.Fes_pra.Gal_mol.Car_hir"
0.75,"Poa_pra.Dac_glo.Fes_pra.Hol_lan.Car_hir"
0.75,"Poa_pra.Dac_glo.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Arr_ela.Fes_pra.Gal_mol.Hol_lan"
0.75,"Poa_pra.Arr_ela.Fes_pra.Gal_mol.Car_hir"
0.75,"Poa_pra.Arr_ela.Fes_pra.Hol_lan.Car_hir"
0.75,"Poa_pra.Arr_ela.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_rub.Fes_pra.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_rub.Fes_pra.Gal_mol.Car_hir"
0.75,"Poa_pra.Fes_rub.Fes_pra.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_rub.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Tri_pra.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Tri_pra.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Ran_rep.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Ran_rep.Gal_mol.Car_hir"
0.75,"Poa_pra.Fes_pra.Ran_rep.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Bro_ere.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Ran_acr.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Ran_acr.Gal_mol.Car_hir"
0.75,"Poa_pra.Fes_pra.Ran_acr.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Bro_hor.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Bro_hor.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Pla_lan.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Pla_lan.Gal_mol.Car_hir"
0.75,"Poa_pra.Fes_pra.Pla_lan.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Her_sph.Gal_mol.Hol_lan"
0.75,"Poa_pra.Fes_pra.Her_sph.Gal_mol.Car_hir"
0.75,"Poa_pra.Fes_pra.Her_sph.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Gal_mol.Hol_lan.Hel_pub"
0.75,"Poa_pra.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Fes_pra.Gal_mol.Hol_lan.Bra_pin"
0.75,"Poa_pra.Fes_pra.Gal_mol.Hel_pub.Car_hir"
0.75,"Poa_pra.Ran_rep.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Bro_hor.Gal_mol.Hol_lan.Car_hir"
